id,hotel_name,city,country,forbes_rating,forbes_status,forbes_year,michelin_keys,michelin_status,michelin_year,source_url,notes
30,The Prince Gallery Tokyo Kioicho,東京,日本,Five-Star,rated,-,One Key,rated,2024,forbestravelguide.com/destinations/tokyo-japan; latteluxurynews.com,
31,JW Marriott Nara,奈良,日本,unrated,unrated,-,One Key,rated,2025(addition),WebSearch確認(JW Marriott Hotel Nara),Forbes側は非掲載
32,Shangri-La Tokyo,東京,日本,Four-Star,rated,-,One Key,rated,2024,forbestravelguide.com/destinations/tokyo-japan; latteluxurynews.com,
33,HOTEL THE MITSUI KYOTO,京都,日本,Five-Star,rated,-,Three Keys,rated,2024/2025,forbestravelguide.com/destinations/kyoto-japan; travelvoice.jp,
34,The Westin Miyako Kyoto,京都,日本,Recommended,rated,-,unrated,unrated,-,forbestravelguide.com/destinations/kyoto-japan,
35,Hyatt Centric Kanazawa,石川,日本,unrated,unrated,-,unrated,unrated,-,確認できず,
36,Hyatt House Kanazawa,石川,日本,unrated,unrated,-,unrated,unrated,-,確認できず,
37,Kai Kaga,石川,日本,unrated,unrated,-,unrated,unrated,-,確認できず,近隣のBeniya Mukayu/Araya Totoanは別施設で取得済み
38,Park Hyatt Niseko Hanazono,北海道,日本,Recommended,rated,-,One Key,rated,2024,forbestravelguide.com/hotels/hokkaido-japan; latteluxurynews.com,
39,Hilton Niseko Village,北海道,日本,unrated,unrated,-,unrated,unrated,-,powderlife.com(他ニセコ施設は取得も本施設は対象外),
40,Okunoin Hotel Tokugawa,栃木,日本,unrated,unrated,-,unrated,unrated,-,確認できず,
41,"Mandarin Oriental Ritz, Madrid",マドリード,スペイン,Five-Star,rated,-,Three Keys,rated,2024,forbestravelguide.com/hotels/madrid-spain; connectingtravel.com,
42,SORANO HOTEL,東京,日本,unrated,unrated,-,unrated,unrated,-,確認できず,
43,The Prince Park Tower Tokyo,東京,日本,Four-Star,rated,-,unrated,unrated,-,forbestravelguide.com/destinations/tokyo-japan,
44,The Prince Sakura Tower Tokyo,東京,日本,Four-Star,rated,-,unrated,unrated,-,forbestravelguide.com/destinations/tokyo-japan,
